Time,Displacement,Force
"3.8600","1.2809","0.0182"
"3.8800","1.2875","0.0180"
"3.9000","1.2941","0.0182"
"3.9200","1.3008","0.0183"
"3.9400","1.3075","0.0186"
"3.9600","1.3142","0.0184"
"3.9800","1.3208","0.0182"
"4.0000","1.3275","0.0185"
"4.0200","1.3342","0.0184"
"4.0400","1.3408","0.0185"
"4.0600","1.3475","0.0185"
"4.0800","1.3542","0.0184"
"4.1000","1.3608","0.0187"
"4.1200","1.3675","0.0188"
"4.1400","1.3742","0.0187"
"4.1600","1.3809","0.0185"
"4.1800","1.3875","0.0187"
"4.2000","1.3942","0.0189"
"4.2200","1.4009","0.0190"
"4.2400","1.4075","0.0187"
"4.2600","1.4142","0.0188"
"4.2800","1.4209","0.0190"
"4.3000","1.4275","0.0189"
"4.3200","1.4342","0.0190"
"4.3400","1.4408","0.0190"
"4.3600","1.4475","0.0193"
"4.3800","1.4542","0.0190"
"4.4000","1.4608","0.0190"
"4.4200","1.4675","0.0193"
"4.4400","1.4742","0.0192"
"4.4600","1.4808","0.0192"
"4.4800","1.4875","0.0191"
"4.5000","1.4942","0.0195"
"4.5200","1.5008","0.0194"
"4.5400","1.5075","0.0192"
"4.5600","1.5142","0.0196"
"4.5800","1.5209","0.0195"
"4.6000","1.5275","0.0193"
"4.6200","1.5342","0.0196"
"4.6400","1.5409","0.0198"
"4.6600","1.5475","0.0194"
"4.6800","1.5542","0.0197"
"4.7000","1.5609","0.0197"
"4.7200","1.5675","0.0196"
"4.7400","1.5742","0.0200"
"4.7600","1.5809","0.0199"
"4.7800","1.5875","0.0201"
"4.8000","1.5942","0.0198"
"4.8200","1.6009","0.0200"
"4.8400","1.6075","0.0202"
"4.8600","1.6141","0.0200"
"4.8800","1.6208","0.0202"
"4.9000","1.6275","0.0202"
"4.9200","1.6342","0.0204"
"4.9400","1.6408","0.0200"
"4.9600","1.6475","0.0201"
"4.9800","1.6542","0.0207"
"5.0000","1.6608","0.0201"
"5.0200","1.6675","0.0203"
"5.0400","1.6742","0.0206"
"5.0600","1.6808","0.0204"
"5.0800","1.6875","0.0204"
"5.1000","1.6942","0.0207"
"5.1200","1.7008","0.0205"
"5.1400","1.7075","0.0204"
"5.1600","1.7142","0.0209"
"5.1800","1.7208","0.0207"
"5.2000","1.7275","0.0207"
"5.2200","1.7342","0.0208"
"5.2400","1.7408","0.0210"
"5.2600","1.7475","0.0207"
"5.2800","1.7542","0.0208"
"5.3000","1.7609","0.0212"
"5.3200","1.7675","0.0210"
"5.3400","1.7742","0.0210"
"5.3600","1.7809","0.0209"
"5.3800","1.7875","0.0214"
"5.4000","1.7942","0.0211"
"5.4200","1.8009","0.0208"
"5.4400","1.8075","0.0213"
"5.4600","1.8142","0.0212"
"5.4800","1.8208","0.0211"
"5.5000","1.8275","0.0213"
"5.5200","1.8342","0.0215"
"5.5400","1.8408","0.0213"
"5.5600","1.8475","0.0216"
"5.5800","1.8542","0.0216"
"5.6000","1.8608","0.0212"
"5.6200","1.8675","0.0217"
"5.6400","1.8742","0.0217"
"5.6600","1.8808","0.0215"
"5.6800","1.8875","0.0216"
"5.7000","1.8942","0.0219"
"5.7200","1.9009","0.0218"
"5.7400","1.9075","0.0215"
"5.7600","1.9142","0.0218"
"5.7800","1.9209","0.0220"
"5.8000","1.9275","0.0218"
"5.8200","1.9341","0.0217"
"5.8400","1.9408","0.0221"
"5.8600","1.9475","0.0223"
"5.8800","1.9542","0.0218"
"5.9000","1.9608","0.0219"
"5.9200","1.9675","0.0220"
"5.9400","1.9742","0.0220"
"5.9600","1.9808","0.0221"
"5.9800","1.9875","0.0222"
"6.0000","1.9942","0.0220"
"6.0200","2.0009","0.0223"
"6.0400","2.0075","0.0225"
"6.0600","2.0142","0.0219"
"6.0800","2.0209","0.0223"
"6.1000","2.0275","0.0225"
"6.1200","2.0342","0.0225"
"6.1400","2.0409","0.0224"
"6.1600","2.0475","0.0223"
"6.1800","2.0542","0.0226"
"6.2000","2.0609","0.0225"
"6.2200","2.0675","0.0224"
"6.2400","2.0742","0.0224"
"6.2600","2.0808","0.0228"
"6.2800","2.0875","0.0226"
"6.3000","2.0942","0.0225"
"6.3200","2.1008","0.0228"
"6.3400","2.1075","0.0228"
"6.3600","2.1142","0.0228"
"6.3800","2.1208","0.0227"
"6.4000","2.1275","0.0227"
"6.4200","2.1342","0.0230"
"6.4400","2.1408","0.0230"
"6.4600","2.1475","0.0228"
"6.4800","2.1542","0.0229"
"6.5000","2.1609","0.0233"
"6.5200","2.1675","0.0230"
"6.5400","2.1742","0.0229"
"6.5600","2.1808","0.0232"
"6.5800","2.1875","0.0232"
"6.6000","2.1942","0.0232"
"6.6200","2.2009","0.0230"
"6.6400","2.2075","0.0233"
"6.6600","2.2142","0.0232"
"6.6800","2.2209","0.0232"
"6.7000","2.2275","0.0233"
"6.7200","2.2342","0.0233"
"6.7400","2.2409","0.0235"
"6.7600","2.2475","0.0234"
"6.7800","2.2541","0.0235"
"6.8000","2.2608","0.0235"
"6.8200","2.2675","0.0238"
"6.8400","2.2742","0.0235"
"6.8600","2.2808","0.0234"
"6.8800","2.2875","0.0237"
"6.9000","2.2942","0.0238"
"6.9200","2.3008","0.0237"
"6.9400","2.3075","0.0234"
"6.9600","2.3142","0.0239"
"6.9800","2.3208","0.0239"
"7.0000","2.3275","0.0238"
"7.0200","2.3342","0.0238"
"7.0400","2.3409","0.0238"
"7.0600","2.3475","0.0241"
"7.0800","2.3542","0.0240"
"7.1000","2.3609","0.0240"
"7.1200","2.3675","0.0240"
"7.1400","2.3742","0.0240"
"7.1600","2.3809","0.0241"
"7.1800","2.3875","0.0240"
"7.2000","2.3942","0.0241"
"7.2200","2.4009","0.0243"
"7.2400","2.4075","0.0242"
"7.2600","2.4142","0.0240"
"7.2800","2.4208","0.0242"
"7.3000","2.4275","0.0245"
"7.3200","2.4342","0.0242"
"7.3400","2.4408","0.0244"
"7.3600","2.4475","0.0245"
"7.3800","2.4542","0.0245"
"7.4000","2.4608","0.0245"
"7.4200","2.4675","0.0244"
"7.4400","2.4742","0.0247"
"7.4600","2.4808","0.0247"
"7.4800","2.4875","0.0248"
"7.5000","2.4942","0.0246"
"7.5200","2.5008","0.0248"
"7.5400","2.5075","0.0248"
"7.5600","2.5142","0.0248"
"7.5800","2.5209","0.0248"
"7.6000","2.5275","0.0248"
"7.6200","2.5342","0.0249"
"7.6400","2.5409","0.0250"
"7.6600","2.5475","0.0249"
"7.6800","2.5542","0.0249"
"7.7000","2.5609","0.0252"
"7.7200","2.5675","0.0250"
"7.7400","2.5741","0.0251"
"7.7600","2.5808","0.0254"
"7.7800","2.5875","0.0254"
"7.8000","2.5942","0.0251"
"7.8200","2.6009","0.0250"
"7.8400","2.6075","0.0256"
"7.8600","2.6142","0.0254"
"7.8800","2.6208","0.0253"
"7.9000","2.6275","0.0256"
"7.9200","2.6342","0.0254"
"7.9400","2.6408","0.0257"
"7.9600","2.6475","0.0255"
"7.9800","2.6542","0.0255"
"8.0000","2.6609","0.0256"
"8.0200","2.6675","0.0257"
"8.0400","2.6742","0.0257"
"8.0600","2.6808","0.0255"
"8.0800","2.6875","0.0259"
"8.1000","2.6942","0.0260"
"8.1200","2.7009","0.0258"
"8.1400","2.7075","0.0257"
"8.1600","2.7142","0.0259"
"8.1800","2.7208","0.0262"
"8.2000","2.7275","0.0260"
"8.2200","2.7342","0.0260"
"8.2400","2.7408","0.0262"
"8.2600","2.7475","0.0262"
"8.2800","2.7542","0.0262"
"8.3000","2.7609","0.0263"
"8.3200","2.7675","0.0261"
"8.3400","2.7742","0.0263"
"8.3600","2.7808","0.0265"
"8.3800","2.7875","0.0264"
"8.4000","2.7942","0.0266"
"8.4200","2.8009","0.0264"
"8.4400","2.8075","0.0265"
"8.4600","2.8142","0.0264"
"8.4800","2.8208","0.0264"
"8.5000","2.8275","0.0268"
"8.5200","2.8342","0.0266"
"8.5400","2.8409","0.0265"
"8.5600","2.8475","0.0265"
"8.5800","2.8542","0.0270"
"8.6000","2.8609","0.0266"
"8.6200","2.8675","0.0265"
"8.6400","2.8742","0.0270"
"8.6600","2.8808","0.0269"
"8.6800","2.8875","0.0265"
"8.7000","2.8941","0.0271"
"8.7200","2.9008","0.0273"
"8.7400","2.9075","0.0269"
"8.7600","2.9142","0.0271"
"8.7800","2.9208","0.0269"
"8.8000","2.9275","0.0270"
"8.8200","2.9342","0.0274"
"8.8400","2.9408","0.0270"
"8.8600","2.9475","0.0272"
"8.8800","2.9542","0.0274"
"8.9000","2.9609","0.0273"
"8.9200","2.9675","0.0274"
"8.9400","2.9742","0.0272"
"8.9600","2.9808","0.0274"
"8.9800","2.9875","0.0277"
"9.0000","2.9942","0.0276"
"9.0200","3.0009","0.0272"
"9.0400","3.0075","0.0276"
"9.0600","3.0142","0.0278"
"9.0800","3.0209","0.0274"
"9.1000","3.0275","0.0277"
"9.1200","3.0342","0.0278"
"9.1400","3.0409","0.0276"
"9.1600","3.0475","0.0278"
"9.1800","3.0542","0.0279"
"9.2000","3.0608","0.0276"
"9.2200","3.0675","0.0281"
"9.2400","3.0742","0.0280"
"9.2600","3.0808","0.0278"
"9.2800","3.0875","0.0282"
"9.3000","3.0942","0.0281"
"9.3200","3.1008","0.0280"
"9.3400","3.1075","0.0280"
"9.3600","3.1142","0.0284"
"9.3800","3.1209","0.0284"
"9.4000","3.1275","0.0280"
"9.4200","3.1342","0.0283"
"9.4400","3.1409","0.0284"
"9.4600","3.1475","0.0283"
"9.4800","3.1542","0.0283"
"9.5000","3.1609","0.0285"
"9.5200","3.1675","0.0285"
"9.5400","3.1742","0.0283"
"9.5600","3.1809","0.0287"
"9.5800","3.1876","0.0286"
"9.6000","3.1942","0.0284"
"9.6200","3.2009","0.0287"
"9.6400","3.2075","0.0286"
"9.6600","3.2141","0.0286"
"9.6800","3.2208","0.0291"
"9.7000","3.2275","0.0290"
"9.7200","3.2342","0.0285"
"9.7400","3.2408","0.0287"
"9.7600","3.2475","0.0290"
"9.7800","3.2542","0.0290"
"9.8000","3.2608","0.0286"
"9.8200","3.2675","0.0288"
"9.8400","3.2742","0.0292"
"9.8600","3.2808","0.0290"
"9.8800","3.2875","0.0289"
"9.9000","3.2942","0.0291"
"9.9200","3.3009","0.0292"
"9.9400","3.3075","0.0290"
"9.9600","3.3142","0.0292"
"9.9800","3.3209","0.0293"
"10.0000","3.3275","0.0292"
"10.0200","3.3342","0.0294"
"10.0400","3.3409","0.0293"
"10.0600","3.3475","0.0294"
"10.0800","3.3542","0.0294"
"10.1000","3.3608","0.0294"
"10.1200","3.3675","0.0294"
"10.1400","3.3742","0.0296"
"10.1600","3.3808","0.0297"
"10.1800","3.3875","0.0296"
"10.2000","3.3942","0.0297"
"10.2200","3.4009","0.0295"
"10.2400","3.4075","0.0298"
"10.2600","3.4142","0.0299"
"10.2800","3.4208","0.0296"
"10.3000","3.4275","0.0298"
"10.3200","3.4342","0.0301"
"10.3400","3.4408","0.0300"
"10.3600","3.4475","0.0298"
"10.3800","3.4542","0.0300"
"10.4000","3.4608","0.0301"
"10.4200","3.4675","0.0302"
"10.4400","3.4742","0.0302"
"10.4600","3.4808","0.0301"
"10.4800","3.4875","0.0305"
"10.5000","3.4942","0.0304"
"10.5200","3.5009","0.0302"
"10.5400","3.5075","0.0306"
"10.5600","3.5142","0.0306"
"10.5800","3.5209","0.0305"
"10.6000","3.5275","0.0304"
"10.6200","3.5341","0.0308"
"10.6400","3.5408","0.0308"
"10.6600","3.5475","0.0309"
"10.6800","3.5542","0.0306"
"10.7000","3.5608","0.0305"
"10.7200","3.5675","0.0310"
"10.7400","3.5742","0.0309"
"10.7600","3.5809","0.0308"
"10.7800","3.5875","0.0307"
"10.8000","3.5942","0.0311"
"10.8200","3.6009","0.0311"
"10.8400","3.6075","0.0310"
"10.8600","3.6142","0.0310"
"10.8800","3.6208","0.0312"
"10.9000","3.6275","0.0313"
"10.9200","3.6342","0.0310"
"10.9400","3.6408","0.0314"
"10.9600","3.6475","0.0313"
"10.9800","3.6542","0.0312"
"11.0000","3.6608","0.0313"
"11.0200","3.6675","0.0313"
"11.0400","3.6742","0.0314"
"11.0600","3.6809","0.0317"
"11.0800","3.6875","0.0315"
"11.1000","3.6942","0.0313"
"11.1200","3.7008","0.0319"
"11.1400","3.7075","0.0319"
"11.1600","3.7142","0.0314"
"11.1800","3.7208","0.0317"
"11.2000","3.7275","0.0321"
"11.2200","3.7342","0.0319"
"11.2400","3.7408","0.0316"
"11.2600","3.7475","0.0318"
"11.2800","3.7542","0.0320"
"11.3000","3.7608","0.0319"
"11.3200","3.7675","0.0319"
"11.3400","3.7742","0.0320"
"11.3600","3.7809","0.0322"
"11.3800","3.7875","0.0318"
"11.4000","3.7942","0.0322"
"11.4200","3.8009","0.0322"
"11.4400","3.8075","0.0319"
"11.4600","3.8142","0.0324"
"11.4800","3.8208","0.0323"
"11.5000","3.8275","0.0323"
"11.5200","3.8342","0.0324"
"11.5400","3.8409","0.0324"
"11.5600","3.8475","0.0321"
"11.5800","3.8541","0.0325"
"11.6000","3.8608","0.0330"
"11.6200","3.8675","0.0327"
"11.6400","3.8742","0.0324"
"11.6600","3.8808","0.0326"
"11.6800","3.8875","0.0328"
"11.7000","3.8942","0.0326"
"11.7200","3.9008","0.0328"
"11.7400","3.9075","0.0330"
"11.7600","3.9142","0.0331"
"11.7800","3.9209","0.0329"
"11.8000","3.9275","0.0330"
"11.8200","3.9342","0.0333"
"11.8400","3.9409","0.0329"
"11.8600","3.9475","0.0331"
"11.8800","3.9542","0.0333"
"11.9000","3.9609","0.0333"
"11.9200","3.9675","0.0333"
"11.9400","3.9742","0.0334"
"11.9600","3.9809","0.0333"
"11.9800","3.9875","0.0332"
"12.0000","3.9942","0.0338"
"12.0200","4.0008","0.0335"
"12.0400","4.0075","0.0331"
"12.0600","4.0142","0.0338"
"12.0800","4.0208","0.0339"
"12.1000","4.0275","0.0335"
"12.1200","4.0342","0.0337"
"12.1400","4.0408","0.0337"
"12.1600","4.0475","0.0337"
"12.1800","4.0542","0.0340"
"12.2000","4.0608","0.0337"
"12.2200","4.0675","0.0340"
"12.2400","4.0742","0.0343"
"12.2600","4.0809","0.0339"
"12.2800","4.0875","0.0340"
"12.3000","4.0942","0.0339"
"12.3200","4.1008","0.0341"
"12.3400","4.1075","0.0342"
"12.3600","4.1142","0.0340"
"12.3800","4.1209","0.0342"
"12.4000","4.1275","0.0343"
"12.4200","4.1342","0.0343"
"12.4400","4.1409","0.0340"
"12.4600","4.1475","0.0345"
"12.4800","4.1542","0.0345"
"12.5000","4.1609","0.0341"
"12.5200","4.1675","0.0344"
"12.5400","4.1742","0.0347"
"12.5600","4.1808","0.0347"
"12.5800","4.1875","0.0346"
"12.6000","4.1942","0.0346"
"12.6200","4.2008","0.0348"
"12.6400","4.2075","0.0349"
"12.6600","4.2142","0.0348"
"12.6800","4.2208","0.0347"
"12.7000","4.2275","0.0351"
"12.7200","4.2342","0.0351"
"12.7400","4.2409","0.0349"
"12.7600","4.2475","0.0349"
"12.7800","4.2542","0.0355"
"12.8000","4.2608","0.0353"
"12.8200","4.2675","0.0352"
"12.8400","4.2742","0.0353"
"12.8600","4.2809","0.0352"
"12.8800","4.2875","0.0354"
"12.9000","4.2942","0.0352"
"12.9200","4.3009","0.0353"
"12.9400","4.3075","0.0357"
"12.9600","4.3142","0.0356"
"12.9800","4.3209","0.0355"
"13.0000","4.3275","0.0356"
"13.0200","4.3342","0.0358"
"13.0400","4.3408","0.0358"
"13.0600","4.3475","0.0359"
"13.0800","4.3542","0.0358"
"13.1000","4.3608","0.0361"
"13.1200","4.3675","0.0362"
"13.1400","4.3742","0.0360"
"13.1600","4.3808","0.0362"
"13.1800","4.3875","0.0363"
"13.2000","4.3942","0.0364"
"13.2200","4.4008","0.0363"
"13.2400","4.4075","0.0364"
"13.2600","4.4142","0.0366"
"13.2800","4.4209","0.0364"
"13.3000","4.4275","0.0365"
"13.3200","4.4342","0.0363"
"13.3400","4.4408","0.0367"
"13.3600","4.4475","0.0368"
"13.3800","4.4542","0.0365"
"13.4000","4.4608","0.0367"
"13.4200","4.4675","0.0370"
"13.4400","4.4742","0.0369"
"13.4600","4.4809","0.0366"
"13.4800","4.4875","0.0367"
"13.5000","4.4941","0.0370"
"13.5200","4.5008","0.0372"
"13.5400","4.5075","0.0369"
"13.5600","4.5142","0.0371"
"13.5800","4.5208","0.0373"
"13.6000","4.5275","0.0372"
"13.6200","4.5342","0.0371"
"13.6400","4.5408","0.0371"
"13.6600","4.5475","0.0374"
"13.6800","4.5542","0.0376"
"13.7000","4.5609","0.0374"
"13.7200","4.5675","0.0373"
"13.7400","4.5742","0.0376"
"13.7600","4.5809","0.0378"
"13.7800","4.5875","0.0375"
"13.8000","4.5942","0.0377"
"13.8200","4.6009","0.0379"
"13.8400","4.6075","0.0377"
"13.8600","4.6142","0.0376"
"13.8800","4.6209","0.0377"
"13.9000","4.6275","0.0380"
"13.9200","4.6342","0.0379"
"13.9400","4.6408","0.0380"
"13.9600","4.6475","0.0381"
"13.9800","4.6541","0.0382"
"14.0000","4.6608","0.0383"
"14.0200","4.6675","0.0383"
"14.0400","4.6742","0.0383"
"14.0600","4.6808","0.0382"
"14.0800","4.6875","0.0385"
"14.1000","4.6942","0.0384"
"14.1200","4.7008","0.0384"
"14.1400","4.7075","0.0387"
"14.1600","4.7142","0.0386"
"14.1800","4.7209","0.0385"
"14.2000","4.7275","0.0385"
"14.2200","4.7342","0.0388"
"14.2400","4.7408","0.0387"
"14.2600","4.7475","0.0386"
"14.2800","4.7542","0.0389"
"14.3000","4.7609","0.0391"
"14.3200","4.7675","0.0389"
"14.3400","4.7742","0.0389"
"14.3600","4.7809","0.0391"
"14.3800","4.7875","0.0392"
"14.4000","4.7942","0.0393"
"14.4200","4.8008","0.0391"
"14.4400","4.8075","0.0392"
"14.4600","4.8141","0.0394"
"14.4800","4.8208","0.0395"
"14.5000","4.8275","0.0394"
"14.5200","4.8342","0.0391"
"14.5400","4.8408","0.0395"
"14.5600","4.8475","0.0399"
"14.5800","4.8542","0.0395"
"14.6000","4.8608","0.0396"
"14.6200","4.8675","0.0400"
"14.6400","4.8742","0.0399"
"14.6600","4.8808","0.0395"
"14.6800","4.8875","0.0398"
"14.7000","4.8942","0.0401"
"14.7200","4.9009","0.0400"
"14.7400","4.9075","0.0398"
"14.7600","4.9142","0.0400"
"14.7800","4.9209","0.0403"
"14.8000","4.9275","0.0402"
"14.8200","4.9342","0.0401"
"14.8400","4.9409","0.0402"
"14.8600","4.9475","0.0406"
"14.8800","4.9542","0.0405"
"14.9000","4.9609","0.0403"
"14.9200","4.9675","0.0406"
"14.9400","4.9742","0.0406"
"14.9600","4.9808","0.0408"
"14.9800","4.9875","0.0406"
"15.0000","4.9942","0.0408"
"15.0200","5.0008","0.0409"
"15.0400","5.0075","0.0407"
"15.0600","5.0142","0.0406"
"15.0800","5.0208","0.0408"
"15.1000","5.0275","0.0412"
"15.1200","5.0342","0.0409"
"15.1400","5.0408","0.0408"
"15.1600","5.0475","0.0412"
"15.1800","5.0542","0.0414"
"15.2000","5.0608","0.0411"
"15.2200","5.0675","0.0412"
"15.2400","5.0742","0.0413"
"15.2600","5.0808","0.0413"
"15.2800","5.0875","0.0415"
"15.3000","5.0942","0.0414"
"15.3200","5.1009","0.0414"
"15.3400","5.1075","0.0417"
"15.3600","5.1142","0.0418"
"15.3800","5.1208","0.0416"
"15.4000","5.1275","0.0416"
"15.4200","5.1341","0.0422"
"15.4400","5.1408","0.0422"
"15.4600","5.1475","0.0419"
"15.4800","5.1542","0.0420"
"15.5000","5.1609","0.0422"
"15.5200","5.1675","0.0421"
"15.5400","5.1742","0.0419"
"15.5600","5.1808","0.0423"
"15.5800","5.1875","0.0425"
"15.6000","5.1942","0.0423"
"15.6200","5.2008","0.0423"
"15.6400","5.2075","0.0424"
"15.6600","5.2142","0.0425"
"15.6800","5.2208","0.0422"
"15.7000","5.2275","0.0424"
"15.7200","5.2342","0.0426"
"15.7400","5.2408","0.0426"
"15.7600","5.2475","0.0426"
"15.7800","5.2542","0.0428"
"15.8000","5.2609","0.0426"
"15.8200","5.2675","0.0428"
"15.8400","5.2742","0.0430"
"15.8600","5.2809","0.0427"
"15.8800","5.2875","0.0430"
"15.9000","5.2942","0.0430"
"15.9200","5.3008","0.0430"
"15.9400","5.3075","0.0431"
"15.9600","5.3142","0.0432"
"15.9800","5.3209","0.0433"
"16.0000","5.3275","0.0433"
"16.0200","5.3342","0.0433"
"16.0400","5.3408","0.0435"
"16.0600","5.3475","0.0437"
"16.0800","5.3542","0.0435"
"16.1000","5.3609","0.0435"
"16.1200","5.3675","0.0437"
"16.1400","5.3742","0.0437"
"16.1600","5.3808","0.0437"
"16.1800","5.3875","0.0438"
"16.2000","5.3942","0.0439"
"16.2200","5.4008","0.0440"
"16.2400","5.4075","0.0441"
"16.2600","5.4142","0.0439"
"16.2800","5.4209","0.0438"
"16.3000","5.4275","0.0444"
"16.3200","5.4342","0.0440"
"16.3400","5.4408","0.0437"
"16.3600","5.4475","0.0443"
"16.3800","5.4541","0.0445"
"16.4000","5.4608","0.0442"
